A newer version of lightning is available (2.5.5). Would you like to upgrade? [Y/n]: Outputs will be saved to models/mdm_safetensors/mdm-85M-6e18
{'model_name': 'Diff_LLaMA_85M', 'num_of_devices': 1, 'global_batch_size': 256, 'learning_rate': 0.0002, 'micro_batch_size': 8, 'max_step': 22383, 'warmup_steps': 223, 'log_step_interval': 10, 'eval_iters': 400, 'save_step_interval': 5000, 'eval_step_interval': 999999999999, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 2e-05, 'batch_size': 256, 'gradient_accumulation_steps': 32, 'warmup_iters': 7136, 'max_iters': 716256, 'lr_decay_iters': 716256, 'log_iter_interval': 320}
Creating dataset from 252 files at data/slim_pajama/tokenized with prefix validation for split validation
Loading model with {'org': 'Lightning-AI', 'name': 'Diff_LLaMA_85M', 'block_size': 2048, 'vocab_size': 32000, 'padding_multiple': 64, 'padded_vocab_size': 32000, 'n_layer': 13, 'n_head': 10, 'n_embd': 640, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': False, 'n_query_groups': 10, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 2560, 'condense_ratio': 1}
Time to instantiate model: 0.18 seconds.
Total parameters 126,174,720
Loading checkpoint from models/mdm_safetensors/mdm-85M-6e18/mdm-85M-6e18.safetensors
Validating ...
Val iter 74:	NLL Bound 3.5783,	Exact NLL 3.4140	Diff: 0.1644
Val iter 75:	NLL Bound 3.3536,	Exact NLL 3.3505	Diff: 0.0031
Val iter 76:	NLL Bound 3.9711,	Exact NLL 3.8883	Diff: 0.0828
Val iter 77:	NLL Bound 3.3781,	Exact NLL 3.3315	Diff: 0.0466
Val iter 78:	NLL Bound 3.2757,	Exact NLL 3.2437	Diff: 0.0321
Val iter 79:	NLL Bound 3.3862,	Exact NLL 3.3582	Diff: 0.0280
Val iter 80:	NLL Bound 3.1660,	Exact NLL 3.0559	Diff: 0.1101
Val iter 81:	NLL Bound 3.4594,	Exact NLL 3.4174	Diff: 0.0420
Val iter 82:	NLL Bound 3.5794,	Exact NLL 3.5576	Diff: 0.0219
Val iter 83:	NLL Bound 3.4328,	Exact NLL 3.4039	Diff: 0.0289
Val iter 84:	NLL Bound 3.2949,	Exact NLL 3.3218	Diff: -0.0269
Val iter 85:	NLL Bound 2.9339,	Exact NLL 2.8469	Diff: 0.0870
Val iter 86:	NLL Bound 3.1924,	Exact NLL 3.1765	Diff: 0.0159
Val iter 87:	NLL Bound 3.1153,	Exact NLL 2.9522	Diff: 0.1631
Val iter 88:	NLL Bound 3.0332,	Exact NLL 2.7845	Diff: 0.2487
Val iter 89:	NLL Bound 3.4219,	Exact NLL 3.2508	Diff: 0.1712
Val iter 90:	NLL Bound 3.3437,	Exact NLL 3.3591	Diff: -0.0154
Val iter 91:	NLL Bound 3.6054,	Exact NLL 3.5696	Diff: 0.0358
Val iter 92:	NLL Bound 3.6499,	Exact NLL 3.6836	Diff: -0.0337
Val iter 93:	NLL Bound 3.8546,	Exact NLL 3.9333	Diff: -0.0788
Val iter 94:	NLL Bound 3.7042,	Exact NLL 3.6055	Diff: 0.0987
Val iter 95:	NLL Bound 3.5863,	Exact NLL 3.5062	Diff: 0.0801
Val iter 96:	NLL Bound 3.1565,	Exact NLL 3.0583	Diff: 0.0982
Val iter 97:	NLL Bound 3.2188,	Exact NLL 3.1610	Diff: 0.0578
Val iter 98:	NLL Bound 3.6212,	Exact NLL 3.5080	Diff: 0.1131
Val iter 99:	NLL Bound 3.5077,	Exact NLL 3.4215	Diff: 0.0862
Val iter 100:	NLL Bound 3.4509,	Exact NLL 3.2681	Diff: 0.1828
Val iter 101:	NLL Bound 3.5398,	Exact NLL 3.5230	Diff: 0.0167
Val iter 102:	NLL Bound 3.2224,	Exact NLL 3.2481	Diff: -0.0258
Val iter 103:	NLL Bound 3.3297,	Exact NLL 3.1521	Diff: 0.1776
Val iter 104:	NLL Bound 3.4842,	Exact NLL 3.4172	Diff: 0.0670
Val iter 105:	NLL Bound 3.6046,	Exact NLL 3.5042	Diff: 0.1005
Val iter 106:	NLL Bound 3.4984,	Exact NLL 3.4366	Diff: 0.0618
Val iter 107:	NLL Bound 3.2483,	Exact NLL 3.1222	Diff: 0.1261
Val iter 108:	NLL Bound 3.4514,	Exact NLL 3.3915	Diff: 0.0598
Val iter 109:	NLL Bound 3.4845,	Exact NLL 3.4495	Diff: 0.0350
Val iter 110:	NLL Bound 3.6228,	Exact NLL 3.5609	Diff: 0.0619
Val iter 111:	NLL Bound 3.6415,	Exact NLL 3.5296	Diff: 0.1118
Val iter 112:	NLL Bound 3.3165,	Exact NLL 3.2241	Diff: 0.0923
Val iter 113:	NLL Bound 3.0665,	Exact NLL 2.9094	Diff: 0.1570
Val iter 114:	NLL Bound 3.6922,	Exact NLL 3.6214	Diff: 0.0708
Val iter 115:	NLL Bound 2.8839,	Exact NLL 2.8350	Diff: 0.0489
Val iter 116:	NLL Bound 3.4150,	Exact NLL 3.3059	Diff: 0.1091
Val iter 117:	NLL Bound 3.2091,	Exact NLL 3.1268	Diff: 0.0823
Val iter 118:	NLL Bound 3.1764,	Exact NLL 3.1113	Diff: 0.0651
Val iter 119:	NLL Bound 3.5652,	Exact NLL 3.4587	Diff: 0.1065
Val iter 120:	NLL Bound 3.5058,	Exact NLL 3.4344	Diff: 0.0714
Val iter 121:	NLL Bound 3.2725,	Exact NLL 3.3252	Diff: -0.0527
Val iter 122:	NLL Bound 3.5255,	Exact NLL 3.3400	Diff: 0.1855
Val iter 123:	NLL Bound 3.3255,	Exact NLL 3.3394	Diff: -0.0139
Val iter 124:	NLL Bound 2.7716,	Exact NLL 2.7829	Diff: -0.0112
Val iter 125:	NLL Bound 3.0218,	Exact NLL 3.0087	Diff: 0.0132
Val iter 126:	NLL Bound 3.3768,	Exact NLL 3.4354	Diff: -0.0586
